"ID","Name","Description"
0,"Grassland",
1,"Draught",
2,"Bushland",
3,"Forest",
4,"Inland Water",
5,"Road",
6,"Building",
7,"Farm",
8,"Muddy Ground",
9,"Savanna",
10,"Draught",
11,"Tropical Shrubland",
12,"Jungle",
13,"Inland Water",
14,"Road",
15,"Building",
16,"Farm",
17,"Muddy Ground",
18,"Volcanic Soil",
19,"Scorched Land",
20,"Volcanic Field",
21,"Volcanic Forest",
22,"Inland Water",
23,"Road",
24,"Building",
25,"Fertile Farm",
26,"Muddy Ground",
27,"Desert Plain",
28,"Desert Sand",
29,"Desert Shrubland",
30,"Desert Forest",
31,"Desert Water",
32,"Sand Road",
33,"Desert Dwelling",
34,"Desert Farm",
35,"Quicksand",
36,"Snow",
37,"Tundra",
38,"Arctic Shrubland",
39,"Arctic Forest",
40,"Frozen Water",
41,"Snow Road",
42,"Warm Shelter",
43,"Arctic Farm",
44,"Ice Ground",
45,"Lively Water",
46,"Empty Water",
47,"Marsh",
48,"Swamp",
49,"Inland Water",
50,"Bridge",
51,"Swamp Building",
52,"Swamp Farm",
53,"Muddy Ground",
54,"Deep Water",
55,"Ocean",
56,"Coral Reef",
57,"Underwater Forest",
58,"Fresh Water",
59,"Bridge",
60,"Sunken City",
61,"Fishery",
62,"Beach",
