id,propertyname,buff_range,target,atk_effect,def_melee_effect,def_range_effect,armour_buff,speed_effect,accuracy_effect,range_effect,reload_effect,charge_effect,charge_def_effect,health_regen_bonus,stamina_regen_bonus,morale_bonus,discipline_bonus,critical_bonus,status,siege_effect,hidden_bonus,description
1,Bonus Morale,1,1,,,,,,,,,,,0,0,110,,,,,,More morale is always preferable. This squad is less likely to flee or surrender in losing fight.
2,Heroic,1,1,,,,,,,,,,,0,0,150,,,,,,"Heroes do not fear failure or death, but that does not mean they welcome it."
3,Varied Training,1,1,,,,,,,,,,,0,0,,,,,,,The lack of standardised training for this unit make the troops' fighting ability wildly diverse.
4,Zealous,1,1,,,,,,,,,,,0,0,130,,,,,,Being zealous for one's belief can make soldier less susceptible to fear.
5,Poor Morale,1,1,,,,,,,,,,,0,0,80,,,,,,"Either from poor training or by its nature, this squad has poorer morale making it unfit for prolong or serious engagement."
6,Black Boar's Guidance,Accuracy +30%,,,,,,,,,,,,0,0,,,,,,,
7,Great Wings' Protection,All defense +15% against frontal and flank attack,,,,,,,,,,,,0,0,,,,,,,
8,Tough Painting,Armour +10,,,,,,,,,,,,0,0,,,,,,,Orc Berserkers usuall wear no armour at all and paint their naked body into battle. What littile known is that the paint materials used is so tough when harden that it can actually stop a sword or arrow.
9,Impregnable Shield,1,1,,125,125,,,,,,,,0,0,,,,,,,One of the most basic equipment to keep one alive in a chaotic battle. Having one is almost always better than having none but having one that of superb quality is the best of all.
10,Protective Fur,"Armour +7, cold damange -50%",,,,,,,,,,,,0,0,,,,,,,"Some breastman or creature may have fur thick enough to protect against some attack to a degree. Additonally, it can help against cold too."
11,Charge Expert,1,1,,,,,,,,,125,,0,0,,,,,,,
12,Charge Defense Expert,1,1,,,,,,,,,,135,0,0,,,,,,,
13,Weapon Expert,,,120,115,,,,115,,115,,,0,0,,,,,,,Decades of perfection the weapon make this squad a pinnacle of all warriors. 
14,Evasive,Melee and range defense bonus +30% for loose and spread formation,,,,,,,,,,,,0,0,,,,,,,This squad can dodge melee and range attack when fighting in loose formation.
