"weaponid","name","damage","armour_penetration","size","imageid","description",,
0,"None",0,0,0,0,"No weapon",,
1,"Sword",6,10,3,1,"Sword is the most balanced weapon one can have. Simple to use but still difficult to master. It is also good for both offense and defense. The only weakness is that it has somewhat lower armour penetration capability than mace and hammer. It is worth mentioning that historically sword is somewhat expensive and rare weapon that mostly used by the rich or professional army. But it is still possible for lowly commoner to possess low quality or salvaged sword.",,
2,"Greatsword",10,35,4,1,,,
3,"Shortsword",4,10,2,1,,,
4,"Dagger",2,15,1,1,"Dagger can be considered the smallest weapon of medieval warfare.",,
5,"Spear",4,10,3,2,"Spear is the most simple weapon to use. Simply thrusting it in the right direction can kill an enemy. Due to its long range, this make spear a good counter against cavalry class but usually have somewhat lower melee defense than other melee class.",,
6,"Club",3,30,2,4,,,
7,"Mace",5,60,2,4,"Mace is a type of bludgeon weapon that become popular due to the advancement of heavy armour that make bladed weaponry less effective. Some type of mace also have piercing or bladed compartments attached such as morning star or winged mace.",,"Flail is a mace with its head part attaching to chain. Although more difficult to use than mace, flail attack can be somewhat hard to predict and defend against. Its flexible swing means that the flail's head can land impact behind enemy's shield as well. "
8,"Great Mace",8,75,4,4,,,
9,"Flail",3,60,3,5,,,
10,"Hammer",3,75,3,6,"Hammer is a tool of blacksmith to shape up metal. Similar to mace, hammer is also good against armoured target where its impactful strikes can leave the unfortunate receiver with broken bones or concussion if aims for the head.",,
11,"War Hammer",7,85,4,6,,,
12,"Handaxe",4,30,3,3,"A tree cutting tool converted into weapon of war. Axe is simple enough to use after some practice. The weight distribution design allow the momentum of axe swing to be powerful enough to break wooden shield or even metal one. ",,
13,"Greataxe",9,75,4,3,,,
14,"Halberd",10,70,5,7,"Halberd is a combination of pole arm and axe. ",,
15,"Pike",6,30,5,8,"Pike is the most simple answer to the domination of cavalry. Why go attack them when you can let them come die at your weapon tip with their own speed. Due to its extremely long rang, pike user become vulnerable against melee attack and also range attack due to the lack of shield and closed stationary formation.",,
16,"Glaive",11,50,5,9,,,
17,"Whip",1,5,1,10,,,
18,"Unarmed",2,10,1,11,"To go into a battle unarmed is either bravely or lunacy, As it is extremely difficult to block other weapons with one body without receiving damage, unarmed usually has extremely low defense unless masterly trained. Nevertheless unarmed class has sufficiently higher speed and melee attack than other melee class. Their attack also consume less stamina.",,
19,"Sling",4,25,1,12,"Sling weapon is highly mobile and versatile enough that it can be classified as both skirmish and range. Its reload speed and ammunition are extremely high while also have decent armour penetration. It has lower damage than other range class though, so makeup for this by attacking the enemy from behind or something.",,
20,"Blowgun",5,10,1,13,,,
21,"Javelin",6,45,2,14,,,
22,"Throwing Axe",5,55,2,15,,,
23,"Longbow",9,60,3,16,"Longbow ",,
24,"Shortbow",6,15,2,17,"Bow is one of the most versatile range weapon available. The unit can switch between different arrow type to inflict the most effective result or status. Although, bow is not a weapon that is easy to use and even harder to master, this make bow unit somewhat more expensive than sling and crossbow unit. Shortbow is a variant of bow that is specialised for swift shooting but with somewhat lacking in range and firepower. ",,
25,"Greatbow",15,90,5,18,,,
26,"Light Crossbow",7,60,2,19,"The pinnacle of warfare. Easier to use than bow that any peasant can use after few days of training to kill a knight that train for their whole life. Crossbow weapon has extremely high armour penetration than other range class but much slower reload and it is relatively useless in melee combat so use it wisely. Light crossbow is much easier to reload and carry making it more suitable for skirmish tactic and medium armour targets.",,
27,"Heavy Crossbow",9,75,3,20,"Heavy crossbow can be regarded as the first ever weapon that can effectively kill a knight. ",,
28,"Repeater Crossbow",5,25,3,19,,,
29,"Arbalest",13,90,5,20,,,
30,"Quarterstaff",5,45,3,21,,,
31,"Stone",2,20,1,22,,,
32,,,,,,,,
33,,,,,,,,
