"abilityid","name","elem","aoe_range","duration","cooldown","restriction","type","condition","discipline_need ","stamina_cost","atk_effect","def_melee_effect","def_range_effect","speed_effect","accuracy_effect","range_effect","reload_effect","charge_effect","charge_def_effect","health_regen_bonus","stamina_regen_bonus","morale_bonus","discipline_bonus","critical_effect","damage_effect","sight_effect","hide_bonus","status","stamina_damage","morale_damage","enemy_status","description"
1,"Fearless Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,105,90,90,120,,,,,,0,-2,0,0,,,0,0,1,,,0,"Fear only bring the weakest of men. To be fearless is to charge on even against the face of death itself."
2,"Glorious Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,,,,,,,0,-2,10,0,,,0,0,0,,4,0,"Glory to those who brave the fear of death and charge onward to the unknown."
3,"Steady Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,115,115,80,,,,,,0,-1.5,10,0,,,0,0,0,,,0,"Steady but not too slow will win even more races and battles."
4,"Frenzied Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,160,50,50,130,,,,,,0,-4,0,0,115,,0,0,1,,,0,"Mindless and aggressive make the most powerful charge."
5,"Devastating Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,110,,,105,,,,120,,0,-3,0,0,120,,0,0,0,,,4,"What is better objective of a charge aside to devastate the enemies utterly."
6,"Stampede",0,1,15,60,"3,4,10",0,"3,4",10,10,,,,,,,,110,,0,-2.5,0,0,,,0,0,0,,,0,"Under the iron hooves and beneath the blazing sun, only the strongest can rise up again."
7,"Breach",0,1,10,60,"3,4,10",0,"3,4",10,10,110,,,,,,,110,,0,-3,0,0,,,0,0,76,,,0,"Breaching through the enemy's formation to crush whoever hiding behind is the greatest achievement every shock cavalry units should dream of."
8,"Shield Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,130,130,85,,,,,110,0,-2,0,0,,,0,0,0,,,0,"Risky yet safe, shield at the front and no archer or spearman can halt your advance."
9,"Agile Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,120,120,120,,,,110,,0,-2.5,0,0,,,0,0,0,,,0,"Agility is the most important aspect of a charge. You don't really charging by standing still, do you?"
10,"Charge Of Regret",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,,,,,130,,0,-2,30,0,,,0,0,2,,,2,"The only word to describe this momentous moment is regret. The regret to not be able to relive this same exact moment ever again no matter how many times it get replicated."
11,"Dread Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,110,,,,,,,,,0,-2.5,0,0,,,0,0,0,,10,0,"Oh great horror, what sin did we do to bring you into us."
12,"Leaping Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,,,,,140,,0,-3.5,0,0,110,,0,0,0,,,0,"Momentum gain from leaping can make any following blow a massive crushing power."
13,"For Ancestor!",0,2,10,60,"3,4,10",0,"3,4",10,10,,,,115,,,,,,0,-3,20,0,110,,0,0,0,,,0,"The ancestors guide us not only in the past. For now we devote our life to our beloved forebears."
14,"Malabel Igiela",0,1,10,60,"3,4,10",0,"3,4",10,10,130,120,120,120,,,,150,120,0,-3,10,0,,,0,0,1,,,0,"The great charge of Malabel cavalry may one day rest in a page of legend or history book, but today, let us offer condolences to the unfortunate victims of this charge."
15,"Historic Moment",0,2,10,60,"3,4,10",0,"3,4",10,10,120,,,115,,,,,,0,-2.5,50,0,,,0,0,0,,,0,"There are not many event in the world that would be worthwhile recorded into a history book. The same cannot be said for this moment."
16,"Hidden Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,90,,,,,,0,-2,0,0,,,0,0,6,,,0,"It should be practically impossible to charge while remain hidden. And how can someone defend against such impossible feat?"
17,"Clumsy Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,,,,,30,,0,-2,0,0,,,0,0,0,,,0,"Some squads are just not suitable for charging whether it be because of their insufficient training or unsuitable equipment."
18,"Heroic Charge",0,2,10,60,"3,4,10",0,"3,4",10,10,110,,,110,,,,,,0,-2.5,20,0,,,0,0,0,,,0,"Just follows the hero and everything will be alright. They become masters of battle by staying alive after all."
19,"Weak Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,90,,,,40,,0,-2,0,0,,,0,0,0,,,0,"A weak charge can often time results in total disaster. Exercise charging tactic for unit with this skill with caution."
20,"Slow Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,80,,,,50,,0,-2,0,0,,,0,0,0,,,0,"Due to the squad's weight, its charge is much slower than usual and less effective overall."
21,"Charge",0,1,10,60,"3,4,10",0,"3,4",10,10,,,,110,,,,,,0,-2,0,0,,,0,0,0,,,0,"An act of charging is often one of the most crucial turning points in any battle. A successful charge can deliver a massive shocking blow to enemy squads that completely destroy their morale or it can be total disaster that result in retreat of the charge initiator instead."
22,"Giant Rush",0,2,20,60,"3,4,10",0,"3,4",10,10,,,,110,,,,,,0,-1.5,0,0,,,0,0,0,,6,4,"A charge from giant squad can be count as one of the most devastating charge in history , it is almost impossible to hold postion against such massive blows."
23,"Break Charge",0,1,10,100,10,0,10,45,10,,,,,,,,,,0,-2,0,0,,,0,0,0,,,0,
24,"Counter Charge",0,1,10,60,10,0,10,55,10,,,,,,,,,,0,-2,0,0,,,0,0,0,,,0,
25,"Carbidarleht Piper",0,4,60,60,0,0,0,65,5,125,125,125,125,125,125,125,125,125,0,-0.5,25,-5,,0,0,0,0,,,0,
26,"Spider Web Shot",0,1,1,60,10,1,10,,,,,,,,,,,,0,0,0,0,,0,0,0,0,,,"24,36",
27,"Aging Touch",0,1,1,100,10,1,10,,,,,,,,,,,,0,0,0,0,,0,0,0,0,,,45,
28,"Ashen Rising",0,1,20,10000,,0,,,,,,,,,,,,,0,0,0,0,,,0,0,87,,,0,
29,"Chain Lightning Strike",3,3,1,300,10,1,10,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,23,
30,"Keen Strike",0,1,3,55,10,1,10,,,250,,,,,,,,,0,0,0,0,,,0,0,0,,,0,
31,"Graceful Evasion",0,1,30,300,10,0,10,,,,150,150,170,,,,,,0,0,0,0,,,0,0,0,,,0,
32,"Corpse Burst",0,2,1,300,10,1,10,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,,
33,"Spearwall",,1,120,0,"0,1,3,10",0,"0,1,3",30,10,120,110,90,50,,,,,150,0,-1,0,0,,,0,0,0,,,0,"Spearwall is a simple yet effective method to counter a charging unit. It is difficult to dodge an object when you rushing at full speed after all."
34,"Spearguard",,1,90,0,"0,1,3,10",0,"0,1,3",50,10,110,115,,60,,,,,120,0,-0.5,0,0,,,0,0,0,,,0,
35,"Angel Guardian",,3,20,200,,0,,,,,,,,,,,,,0,-1,0,0,,,0,0,88,,,0,
36,"Shieldwall",,1,120,0,"0,1,3,10",0,"0,1,3",30,10,,130,120,50,,,,,120,0,-0.5,10,0,,,0,0,0,,,0,"What is the most common tactic used in the most disciplined troops by every world conquering empires? The answer is always shieldwall. The key basis of winning the war is to avoid having the soldiers die in senseless deaths. The longer the soldiers survive in the war, the more experience in killing they become. And the more experienced soldier make a more effective the army."
37,"Shield Turtle",,1,120,0,"0,1,3,10",0,"0,1,3",50,20,,130,160,20,,,,,110,0,-2,0,0,,,0,0,0,,,0,"Defensive yet still mobile. This tactic is superb against approaching enemy army that excel in range attack. (All attack -5, melee defense +25, range defense +50, speed -70, cannot be flanked, cannot be broken, cannot run)"
38,"Shield Dome",,1,180,20,"0,10",0,0,60,20,80,150,200,0,,,,,140,0,-2,15,0,,,0,0,0,,,0,"The ultimate defense tactic. This shield dome leaves no vulnerable spot for enemy to attack."
39,"Shield Barrier",,1,180,20,"0,10",0,0,64,30,75,165,160,0,,,,,135,0,-2,25,0,,,0,0,0,,,0,
40,"Shield Fortress",,1,180,30,"0,10",0,0,72,40,,175,200,0,,,,,,0,-2,0,0,,,0,0,0,,,0,
41,"Rapid Shots",,1,120,300,11,0,11,35,10,,,,,,,120,,,0,-2,0,0,,,0,0,0,,,0,
42,"Rapid Defense",,1,120,300,"1,2,3,4,10",0,"1,2,3,4,10",45,10,,110,,110,,,,,,0,-1,0,0,,,0,0,0,,,0,
43,"Rapid Attack",,1,120,300,"1,2,3,4,10",0,"1,2,3,4,10",50,10,110,,,110,,,,,,0,-1.5,0,0,,,0,0,0,,,0,
44,"Rapid Advance",,1,120,300,"1,2,3,4",0,"1,2,3,4",41,10,,,,125,,,,,,0,-1,0,0,,,0,0,0,,,0,"Speed can often decide to fate for a battle and even a war. Being faster than enemy is never disadvantage."
45,"Steady Aims",,1,60,300,11,0,11,44,10,,,,,120,,,,,0,-1,0,0,,,0,0,0,,,0,"The most important part of range weaponry is to hit the target. Arrows missed are arrow wasted."
46,"Steady Shield",,1,60,0,"0,10",0,"0,10",48,10,,120,120,,,,,,120,0,-1,0,0,,,0,0,0,,,0,
47,"Victory Or Death",,1,1200,10000,10,0,10,51,0,,,,,,,,,,0,0,50,50,,,0,0,0,,,0,"Sometimes retreat is a valid option but not for this time."
48,"Chain Attack",,2,3,60,10,1,10,49,50,,,,,,,,,,0,0,0,0,,50,0,0,0,,,0,"Hitting all enemy at once in a swift fashion is not an easy feat. Extremely powerful skill in battlefield combat with no end of enemies to slay."
49,"Sweep Asunder",,2,1,30,10,1,10,55,70,,,,,,,,,,0,0,0,0,,120,0,0,0,,,0,"Only the strong can sweep a large weapon so powerful that the blow can leave all those stand at the front asunder."
50,"Pledge Of Honour",,3,300,600,10,0,10,68,0,,,,,,,,,,0,0,20,0,,,0,0,0,,,0,
51,"Silencing Glare",,1,50,500,10,1,10,25,20,,,,,,,,,,0,0,0,0,,,0,0,0,,,8,"The glare so intimidating it leave anyone in sight incapable of even producing coherent speech just from fear. Devastatingly useful against mage units that entirely rely on their chanting."
52,"Cantabrian Circle",,1,60,0,11,0,11,50,25,,,135,,,,,,,0,-1,0,0,,,0,0,0,,,0,"The maneuver only possible with the mastery of both equitation and archery. To attack even when moving is the pinnacle of warfare. "
53,"Hold Ground",,1,30,300,1,0,10,58,10,,125,125,,,,,,,0,0,0,0,,,0,0,0,,,0,"""Hold your ground men!"", "
