"ID","Row 1","Row 2","Row 3","Row 4","Row 5","Row 6","Row 7","Row 8","POS","Leader","Leader Position","Facton","Angle","Start Health","Start Stamina","Team"
1,"0,0,6,0,0,0,0,0","0,6,6,6,0,0,0,0","6,6,6,6,6,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","500,500","2,10,11,18","2,3,1,7",1,0,100,100,1
2,"6,6,12,6,6,0,0,0","6,6,6,6,6,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","400,500","13,6,24,25","2,3,1,7",1,0,100,100,1
3,"5,5,5,5,5,5,5,5","3,4,1,6,6,1,4,2","3,4,1,6,6,1,4,2","0,0,0,5,5,0,0,0","0,4,1,6,6,1,4,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","300,500","7,10,10002,10002","11,12,10,26",1,0,100,100,1
4,"0,0,6,0,0,0,0,0","0,6,6,6,0,0,0,0","6,6,6,6,6,0,0,0","6,6,6,6,6,0,0,0","0,6,6,6,0,0,0,0","0,0,6,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","600,500","10002,1,1,1","2,0,0,0",1,0,100,100,1
5,"6,0,0,0,0,0,0,6","0,6,0,0,0,0,6,0","0,0,6,0,0,6,0,0","0,0,0,6,6,0,0,0","0,0,0,6,6,0,0,0","0,0,6,0,0,6,0,0","0,6,0,0,0,0,6,0","6,0,0,0,0,0,0,6","700,500","10002,1,1,1","1,0,0,0",1,0,100,100,1
6,"6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,0,0,0,0,0,0","6,6,6,6,6,6,6,6","6,6,6,6,6,6,6,6","0,0,0,0,0,0,0,0","700,400","10002,1,1,1","0,0,0,0",1,270,100,100,1
7,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,100","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
8,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,200","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
9,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,300","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
10,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,400","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
11,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,500","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
12,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,600","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
13,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","100,700","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
14,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","200,100","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
15,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","200,500","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
16,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","200,600","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
17,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","200,800","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
18,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","200,900","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
19,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","200,400","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
20,"5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","5,5,5,5,5,5,5,5","300,100","10002,10002,10002,10002","2,3,1,7",1,0,100,100,1
21,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","500,400","10000,32,10001,33","4,12,11,13",2,180,100,90,2
22,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","600,400","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
23,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","200,200","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
24,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","300,300","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
25,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","900,850","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
26,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,600","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
27,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,600","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
28,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,700","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
29,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,700","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
30,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","900,100","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
31,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,200","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
32,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","800,300","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
33,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","22,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,300","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
34,"26,0,0,0,0,0,0,0","0,19,19,19,19,19,19,19","0,23,24,23,24,23,24,22","0,23,24,23,24,23,24,22","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","700,100","10000,34,10001,10001","4,12,13,11",2,180,100,90,2
