"Name","Leader ID","Troop"
"King of Kadesh’s War Chariots","CNA-1","CNA+7:4/70,CNA+8:3/10,CNA+9:2/5"
"Prince of Megiddo’s War Chariots","CNA-2","CNA+7:7/80,CNA+8:1/10,CNA+9:1/2"
"Akil Narkabti’s War Chariots","CCNA-2","CNA+7:2/50,CNA+8:2/50"
"Muru-u’s Canaanite Swordsmen","CCNA-1","CNA+4:10/100"
"Canaanite Noble’s Canaanite Infantries","CCNA-3","CNA+3:5/50,CNA+4:5/100"
"Canaanite Noble’s Canaanite Warriors","CCNA-3","CNA+6:15/150"
"Canaanite Noble’s Canaanite Archers","CCNA-3","CNA+1:10/100"
"Canaanite Noble’s Canaanite Slingers","CCNA-3","CNA+2:10/100"
"Canaanite Noble’s Canaanite Swordsmen","CCNA-3","CNA+4:10/80"
"Canaanite Noble’s War Chariots","CCNA-3","CNA+5:5/50"
