"ID","Name","Action","Properties"
1,"Unarmed","punch",
2,"Sword","slash",
3,"Greatsword","slash","power"
4,"Shortsword","pierce",
5,"Dagger","pierce","parry"
6,"Spear","pierce","holdfront"
7,"Club","smash",
8,"Mace","smash",
9,"Great Mace","smash","power"
10,"Flail","smash",
11,"Hammer","smash",
12,"War Hammer","smash","power"
13,"Handaxe","slash",
14,"Greataxe","slash","power"
15,"Halberd","slash","holdfront"
16,"Pike","pierce","holdfront"
17,"Glaive","slash","power"
18,"Whip","slash",
19,"Quarterstaff","slash","power"
20,"Sling","shoot","cancelable,timing_2_1"
21,"Blowgun","shoot","cancelable"
22,"Javelin","shoot","cancelable,timing_2_2"
23,"Throwing Axe","shoot","cancelable,timing_2_2"
24,"Longbow","shoot","cancelable,timing_2_2"
25,"Shortbow","shoot","cancelable,timing_2_3"
26,"Greatbow","shoot","cancelable,timing_2_1"
27,"Light Crossbow","shoot","cancelable"
28,"Heavy Crossbow","shoot","cancelable"
29,"Repeater Crossbow","shoot","cancelable"
30,"Arbalest","shoot","cancelable"
31,"Stone","shoot","cancelable,timing_2_2"
32,"Composite Bow","shoot","cancelable,timing_2_3"
33,"Matchlock Musket","shoot","cancelable"
34,"Arquebus","shoot","cancelable"
35,"Blunderbuss","shoot","cancelable"
36,"Flintlock Musket","shoot","cancelable"
37,"Flintlock Pistol","shoot","cancelable"
38,"Matchlock Pistol","shoot","cancelable"
39,"Kite Shield","bash","block"
40,"Buckler","bash","parry"
41,"Round Shield","bash","block"
42,"Tower Shield","bash","block"
43,"Heater Shield","bash","block"
44,"Pavise Shield","bash","block"
45,"Spiked Shield","bash","block"
46,"Aspis Shield","bash","block"
47,"Oval Shield","bash","block"
48,"Parry Dagger","slash","parry"
49,"Parry Club","smash","parry"
50,"Barrier Shield","bash","block"
51,"Egyptian Shield","bash","block"
52,"Long Egyptian Shield","bash","block"
53,"Tribal Shield","bash","block"
