"Name","Leader ID","Troop"
"King of Kadesh’s War Chariots","CNA-1","47:4/70,48:3/10,49:2/5"
"Prince of Megiddo’s War Chariots","CNA-2","47:7/80,48:1/10,49:1/2"
"Akil Narkabti’s War Chariots","CCNA-2","47:2/50,48:2/50"
"Muru-u’s Canaanite Swordsmen","CCNA-1","44:10/100"
"Canaanite Noble’s Canaanite Infantries","CCNA-3","43:5/50,44:5/100"
"Canaanite Noble’s Canaanite Warriors","CCNA-3","46:15/150"
"Canaanite Noble’s Canaanite Archers","CCNA-3","41:10/100"
"Canaanite Noble’s Canaanite Slingers","CCNA-3","42:10/100"
"Canaanite Noble’s Canaanite Swordsmen","CCNA-3","44:10/80"
"Canaanite Noble’s War Chariots","CCNA-3","45:5/50"
