"charid","name","health","authority","melee_command","range_command","cavalry_command","combat","social","description"
0,"None",100,0,0,0,0,0,0,
1,"William the Bastard",100,92,8,4,7,5,5,
2,"Alan the Red",100,71,7,6,6,5,4,
3,"William fitzOsbern",100,72,,,,5,4,
4,"Eustace II",100,75,7,3,8,5,4,
5,"William d'êvreux",,,,,,,,
6,"Robert de Beaumont  ",,,,,,,,
7,"Geoffrey II",,,,,,,,
8,"Aimery IV of Thouars",,,,,,,,
9,"Walter Giffard",,,,,,,,
10,"Hugh de Montfort",,,,,,,,
11,"Raoul II of Tosny",,,,,,,,
12,"Hugh de Grandmesnil",,,,,,,,
13,"William de Warenne",,,,,,,,
14,"William Malet",,,,,,,,
15,"Odo of Bayeux",,,,,,,,
16,"Turstin FitzRolf",,,,,,,,
17,"Geoffrey de Montbray",,,,,,,,
18,"Robert",,,,,,,,
19,"Wadard",,,,,,,,
20,"Vital",,,,,,,,
21,"Gilbert d'Auffay",,,,,,,,
22,"Humphrey",,,,,,,,
23,,,,,,,,,
24,"Harold Godwinson",100,85,7,2,7,5,7,
25,"Gyrth Godwinson",100,74,4,4,5,5,4,
26,"Leofwine Godwinson",100,73,3,4,7,5,4,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
