1,"6,6,6,6,6,6,6,6","6,6,6,6,6,6,6,6","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","829,585","2,13,12,18","12,11,13,14",0,270,100,100
2,"6,6,6,6,6,6,6,6","6,6,6,6,6,6,6,6","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","859,584","5,6,8,24","12,11,13,14",0,270,100,100
3,"5,5,5,5,5,5,5,5","4,4,1,6,6,1,4,4","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","889,575","7,10,10002,10002","11,12,10,13",0,270,100,100
4,"9,9,9,9,9,9,9,9","8,8,7,12,12,7,8,8","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","979,604","11,4,10002,10002","11,12,10,13",0,290,100,100
5,"9,9,9,9,9,9,9,9","8,8,7,12,12,7,8,8","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","979,654","19,22,31,10002","11,12,10,13",0,270,100,100
6,"11,11,11,11,11,11,11,11","10,10,10,12,12,10,10,10","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","943,579","17,15,10002,10002","11,12,10,13",0,290,100,100
7,"15,15,15,15,15,15,15,15","14,14,13,18,18,13,14,14","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","965,590","3,9,10002,10002","11,12,10,13",0,290,100,100
8,"15,15,15,15,15,15,15,15","14,14,13,18,18,13,14,14","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","965,540","16,20,21,10002","11,12,10,13",0,270,100,100
9,"17,17,17,17,17,17,17,17","16,16,16,18,18,16,16,16","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","910,574","14,23,10002,10002","11,12,10,13",0,270,100,100
2000,"26,26,26,26,26,26,26,26","26,26,27,28,27,26,26,26","0,23,24,23,24,23,24,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","550,300","25,10001,10001,10000","11,21,20,11",1,180,100,90
2001,"26,26,26,26,26,26,26,26","19,19,19,28,19,19,19,19","0,23,24,23,24,23,24,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","510,300","26,30,10001,10001","11,12,13,21",1,180,100,90
2002,"26,26,26,26,26,26,26,26","19,19,19,28,19,19,19,19","0,23,24,23,24,23,24,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","590,300","27,28,10001,10001","11,12,13,21",1,180,100,90
2003,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","0,23,24,23,24,23,24,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","630,300","10000,31,10001,32","5,12,21,13",1,180,100,90
2004,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","0,23,24,23,24,23,24,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","470,300","10000,33,10001,10001","5,12,13,21",1,180,100,90
